artist,song,genre,subgenre,year,beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20,file
Reincidentes,Vicio,Rock,Rock en Español,1994,287,[103.359375],7.41405725479126,0.0692046118390134,5458.417373144103,2782.4441679751344,2958.482364601678,0.55621856,0.000000,0.000002,0.000373,0.000853,0.002329,0.006057,0.009888,0.011053,0.015770,0.026717,0.036311,0.048378,0.056530,0.060987,0.061626,0.058362,0.055913,0.052699,0.052933,0.052752,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Rock en Español/Reincidentes_Vicio_Rock_Rock_en Español_1994.mp3
Dj Napo,El ritmo ms,Electronica,Techno,1999,918,[143.5546875],1.3505985736846924,0.0732296285132752,6491.287354882934,3195.2629952504885,3304.6450009302253,0.5886106,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Dj-Napo_El-ritmo-ms_Electronica_Techno_1999.mp3
Abel The Kid y Raul Ortiz,Electrication,Electronica,Techno,2002,918,[139.67483108],0.3316147923469543,0.0669773579854619,7425.992813108222,3544.000786119461,3680.9235105418056,0.6799916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000261,0.000298,0.000304,0.000347,0.000304,0.000385,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Abel-The-Kid-y-Raul-Ortiz_Electrication_Electronica_Techno_2002.mp3
Abel the Kid y Raul Ortiz,Baila,Electronica,Techno,2004,961,[139.67483108],5.47695779800415,0.0263010576835632,5245.070596038419,2266.3186736286,3048.29224553578,0.6775567,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004922,0.031408,0.046066,0.112812,0.116601,0.144684,0.162619,0.179323,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Abel-the-Kid-y-Raul-Ortiz_Baila_Electronica_Techno_2004.mp3
Alex Trackone y Dj Napo,La nube,Electronica,Techno,2000,1111,[139.67483108],4.739414215087891,0.041777207971008,5284.012634002705,2370.754805404596,2871.841016318141,0.6231673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000009,0.000138,0.003364,0.014328,0.038531,0.052192,0.053312,0.055055,0.060161,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone-y-Dj-Napo_La-nube_Electronica_Techno_2000.mp3
Alex Trackone,Genetiko,Electronica,Techno,2006,865,[139.67483108],6.518306255340576,0.1165835569881208,8934.48524959634,4454.064875530782,3817.410617274592,0.701299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000103,0.137479,0.193366,0.274702,0.304478,0.281043,0.269073,0.197353,0.155422,0.143015,0.098545,0.081968,0.075137,0.069169,0.069072,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone_Genetiko_Electronica_Techno_2006.mp3
Alex Trackone ala Lawrence Lock,Technobase,Electronica,Techno,2004,1019,[139.67483108],4.382026672363281,0.0844967630933616,8562.778671292874,3962.8271937909913,3903.017463711481,0.6683287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000044,0.000198,0.048391,0.107925,0.123362,0.138120,0.153913,0.145390,0.187647,0.245883,0.248164,0.249019,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Alex-Trackone-ala-Lawrence-Lock_Technobase_Electronica_Techno_2004.mp3
Ben Sims,Remanipulator,Electronica,Techno,1998,640,[135.99917763],6.911355972290039,0.0810462532891501,6067.773654599277,3059.114215324661,2943.9187821613177,0.68922716,0.000000,0.000009,0.005251,0.005456,0.013243,0.021924,0.032789,0.035879,0.034283,0.031829,0.028238,0.032357,0.032761,0.031286,0.027603,0.020439,0.020746,0.021777,0.018557,0.031789,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Ben-Sims_Remanipulator_Electronica_Techno_1998.mp3
Cisco Ferreira aka The Advent,Kurva,Electronica,Techno,2005,800,[139.67483108],8.645256042480469,0.0602463421689878,8029.235487342105,3470.926014628333,3907.2390878384767,0.5890338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Cisco-Ferreira-aka-The-Advent_Kurva_Electronica_Techno_2005.mp3
Danili Di Corto,Time of passion,Electronica,Techno,2007,954,[143.5546875],5.153558731079102,0.055063832003451,7533.821512709798,3244.270764274474,3841.6335653635033,0.6586342,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Danili-Di-Corto_Time-of-passion_Electronica_Techno_2007.mp3
David Marshall,Embola,Electronica,Techno,2005,829,[143.5546875],0.8435987830162048,0.0695694331385739,8115.878565352178,3688.422144413276,3792.56211396676,0.6707811,0.000000,0.000000,0.000007,0.000031,0.001190,0.001747,0.001856,0.002650,0.003037,0.002860,0.003681,0.003621,0.003136,0.020673,0.046654,0.061544,0.073641,0.082508,0.080700,0.079023,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/David-Marshall_Embola_Electronica_Techno_2005.mp3
Digital Express,The Club,Electronica,Techno,2004,1051,[135.99917763],5.984379291534424,0.050445739036189,5314.82473605712,2563.089640494559,2901.194865094596,0.55842334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Digital-Express_The-Club_Electronica_Techno_2004.mp3
Digital Express y Michel de Hey,The club remix,Electronica,Techno,2002,863,[132.51201923],6.99404239654541,0.0595256387577158,6251.34952521506,3023.4291019622387,3034.9189956376867,0.6097839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000510,0.020902,0.020938,0.021025,0.162472,0.203012,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Digital-Express-y-Michel-de-Hey_The-club-remix_Electronica_Techno_2002.mp3
Dj Gilbert,Dulux,Electronica,Techno,2000,897,[139.67483108],2.166711568832397,0.0979396888716166,7856.524786256401,3869.440316431382,3583.633043138326,0.5953344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000032,0.044383,0.089182,0.107548,0.120817,0.122013,0.105338,0.103135,0.097084,0.098112,0.099921,0.098594,0.104407,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Dj Gilbert_Dulux_Electronica_Techno_2000.mp3
Filterheadz,Yimanya,Electronica,Techno,2005,1156,[135.99917763],5.688680171966553,0.0859602532605345,7114.6528447813935,3332.8839682676835,3360.210701083696,0.51142603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000009,0.000022,0.000053,0.000568,0.009611,0.091396,0.091416,0.091414,0.090910,0.001924,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Filterheadz_Yimanya_Electronica_Techno_2005.mp3
Jeff Mills,The Bells,Electronica,Techno,1996,647,[135.99917763],7.858260631561279,0.0436008440046565,5547.166114492594,2433.991377138705,2995.4392734168105,0.58939886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Jeff Mills_The Bells_Electronica_Techno_1996.mp3
Jeff Mills & Dj Rolando,Jaguar remix,Electronica,Techno,2002,825,[132.51201923],-0.4403943419456482,0.1327206248871399,9654.17413825494,5085.331097845319,3978.969982087119,0.5666208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Jeff Mills & Dj Rolando_Jaguar remix_Electronica_Techno_2002.mp3
Julio Posadas,Indhu,Electronica,Techno,2022,993,[135.99917763],3.0426154136657715,0.0613273789745012,5947.249296870968,2730.804171522007,2983.2379441815497,0.6083168,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.001912,0.002662,0.006076,0.007897,0.008042,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Julio Posadas_Indhu_Electronica_Techno_2022.mp3
Lithium,Deep jungle,Electronica,Techno,2002,390,[68.90625],8.578567504882812,0.0477387435295779,6481.230261731308,2876.1548015566823,3384.7501525997,0.6517071,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Lithium_Deep jungle_Electronica_Techno_2002.mp3
Mackenzie Feat. Jessy,Arpegia (Without You),Electronica,Techno,1998,1573,[139.67483108],-2.438395738601685,0.0417740733375869,4633.48279859941,2165.450709929293,2790.973275815192,0.4525923,0.000000,0.000000,0.000000,0.000000,0.000002,0.001109,0.005925,0.014113,0.019081,0.022066,0.022977,0.020768,0.018528,0.017966,0.019866,0.021353,0.022375,0.022611,0.023244,0.023565,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Mackenzie Feat. Jessy_Arpegia (Without You)_Electronica_Techno_1998.mp3
Mauro Picotto,Bangkok,Electronica,Techno,2005,857,[135.99917763],9.53321647644043,0.0644147337080058,6954.807152609224,3110.294405188597,3551.414886011514,0.66572106,0.001247,0.001974,0.215870,0.290598,0.337811,0.394066,0.367226,0.366071,0.351857,0.321442,0.335346,0.327583,0.320982,0.306961,0.297741,0.290393,0.298477,0.308051,0.292523,0.271785,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Mauro Picotto_Bangkok_Electronica_Techno_2005.mp3
Max Walder & Manu Kenton,Bongo Spirit,Electronica,Techno,2007,904,[139.67483108],3.799596071243286,0.1127100302117303,8486.909550828612,4172.346583694956,3732.1441675186297,0.5865232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000028,0.000194,0.000307,0.000434,0.000489,0.000456,0.000423,0.000307,0.000287,0.000301,0.000257,0.000247,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Max Walder & Manu Kenton_Bongo Spirit_Electronica_Techno_2007.mp3
Mojado,Fuerte,Electronica,Techno,2007,766,[139.67483108],1.6935884952545166,0.0709274202808302,7124.803827996826,3340.728621879559,3429.269308905987,0.60368013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000046,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Mojado_Fuerte_Electronica_Techno_2007.mp3
Plastikman,Spastik,Electronica,Techno,1993,1015,[126.04801829],-8.499324798583984,0.0980936354087231,6775.803144287825,3513.461695596024,3129.780453837664,0.5982527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Plastikman_Spastik_Electronica_Techno_1993.mp3
Randy Katana,Fancy Fair,Electronica,Techno,2009,890,[139.67483108],3.237711191177368,0.0704633465756827,6971.886566374375,3183.7818680355,3461.2433758231523,0.49485675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000004,0.000005,0.000007,0.000007,0.000008,0.000007,0.000007,0.000007,0.000007,0.000007,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Randy Katana_Fancy Fair_Electronica_Techno_2009.mp3
Randy Katana,One solid wave original mix,Electronica,Techno,2003,567,[139.67483108],-13.800622940063477,0.0564701800851178,5003.616121769876,2345.690952855883,2320.9047870587237,0.317317,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Substate_Horizon_Electronica_Techno_2005.mp3
Substate,Horizon,Electronica,Techno,2005,824,[132.51201923],3.550985336303711,0.0755257908121554,6039.142368633502,2980.257596885252,2899.4217674331426,0.59805083,0.000000,0.000000,0.000000,0.000000,0.000282,0.050707,0.101162,0.128633,0.141235,0.142912,0.122705,0.107326,0.101955,0.096690,0.092522,0.082253,0.074561,0.065669,0.057006,0.054219,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Surgeon_La Real_Electronica_Techno_2000.mp3
Surgeon,La Real,Electronica,Techno,2000,937,[135.99917763],7.124649524688721,0.0353160140234343,5189.124572444781,2337.3401231116154,2850.3662841426662,0.6209538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000487,0.004191,0.083659,0.110654,0.125852,0.137889,0.124724,0.118694,0.120126,0.123716,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Taksi_Schneesturm_Electronica_Techno_2001.mp3
Taksi,Schneesturm,Electronica,Techno,2001,1287,[139.67483108],4.160575866699219,0.0468527546012157,5336.346511600541,2504.4787635404264,2844.1019973807543,0.60442924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000642,0.001073,0.001120,0.001493,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Tekken_Tribal Pursuit_Electronica_Techno_2001.mp3
Tekken,Tribal Pursuit,Electronica,Techno,2001,754,[143.5546875],-0.4059242904186249,0.0464724608126408,4164.023455243137,2066.3590187094883,2411.348460129799,0.46581665,0.000000,0.000000,0.000001,0.000002,0.000496,0.000805,0.001338,0.001384,0.001467,0.099330,0.159192,0.217105,0.297032,0.366301,0.429762,0.467238,0.473622,0.466912,0.430205,0.407393,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/The Advent_Inn Balance (Cozmic Spore Remix)_Electronica_Techno_2003.mp3
The Advent,Inn Balance (Cozmic Spore Remix),Electronica,Techno,2003,416,[135.99917763],7.218976020812988,0.0576332089945568,5744.514485826817,2782.3648235704754,3224.794823820278,0.44402307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/The Roc Project feat. Tina Arena_Never Filterheadz remix_Electronica_Techno_2004.mp3
The Roc Project feat. Tina Arena,Never Filterheadz remix,Electronica,Techno,2004,538,[92.28515625],10.477449417114258,0.0316816221227355,4474.110755204006,2082.9193030814317,2705.70807056496,0.65737313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Thomas Krome_Bitches From Hell_Electronica_Techno_2003.mp3
Thomas Krome,Bitches From Hell,Electronica,Techno,2003,794,[135.99917763],7.212381839752197,0.0565517009599611,8656.72683554911,3818.840916402317,4002.316824435683,0.7162761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000001,0.001241,0.011599,0.028222,0.039811,0.041952,0.041133,0.037003,0.030373,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Tim Xavier_Theater Of Sound_Electronica_Techno_2003.mp3
Tim Xavier,Theater Of Sound,Electronica,Techno,2003,752,[139.67483108],7.67203426361084,0.0708700498298983,7946.175643308925,3435.342711864189,3681.075389186671,0.5680416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000066,0.163197,0.234181,0.234579,0.234580,0.168506,0.013663,0.000321,0.000034,0.000007,0.000016,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Titanium_Dukun (Marco Bailey Remix)_Electronica_Techno_2003.mp3
Titanium,Dukun (Marco Bailey Remix),Electronica,Techno,2003,643,[139.67483108],-5.148223400115967,0.0393733334595067,6004.217913115411,2710.627155229316,3212.625158316402,0.6187691,0.000000,0.000000,0.000000,0.000006,0.001405,0.007166,0.009755,0.010092,0.011900,0.011591,0.009680,0.009527,0.007534,0.004597,0.004321,0.003913,0.002949,0.001552,0.001334,0.001281,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Oscar Mulero_Anaconda_Electronica_Techno_2005.mp3
Oscar Mulero,Anaconda,Electronica,Techno,2005,946,[139.67483108],3.087594747543335,0.1092428832844103,8918.494381017017,4265.162438486075,3892.3090794677705,0.68617684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000026,0.020305,0.051187,0.063352,0.068378,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Tom Hafman vs submission_El vacio mix_Electronica_Techno_2003.mp3
Tom Hafman vs submission,El vacio mix,Electronica,Techno,2003,955,[135.99917763],5.747701168060303,0.0867009304834825,7736.011952457265,3562.252429267729,3544.8667998546634,0.6149333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.007187,0.008954,0.015554,0.018085,0.016891,0.017285,0.012988,0.009424,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Tomaz vs Filterheadz_Lazy people_Electronica_Techno_2002.mp3
Tomaz vs Filterheadz,Lazy people,Electronica,Techno,2002,1026,[135.99917763],8.47317886352539,0.0541797692390329,6651.333572322696,3005.8538122272025,3388.2813768656424,0.632944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000017,0.000027,0.000033,0.000036,0.000034,0.000030,0.000034,0.000036,0.000037,0.000036,0.000030,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Tomaz vs Filterheadz_Sunshine_Electronica_Techno_2002.mp3
Tomaz vs Filterheadz,Sunshine,Electronica,Techno,2002,643,[135.99917763],6.071622371673584,0.0515375253175572,5425.724988980714,2511.115149746705,2864.8260871228654,0.54455453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000013,0.000047,0.001859,0.002044,0.002469,0.002832,0.002341,0.002412,0.002254,/Users/nosolomusica/Desktop/Analisis_de_Datos/Semana8/FINAL_PROYECT/Canciones/Techno/Umek_Soludeks_Electronica_Techno_2000.mp3
