artist,song,genre,subgenre,year
Reincidentes,Vicio,Rock,Rock en EspanÌƒol,1994
Dj Napo,El ritmo ms,Electronica,Techno,1999
Abel The Kid y Raul Ortiz,Electrication,Electronica,Techno,2002
Abel the Kid y Raul Ortiz,Baila,Electronica,Techno,2004
Alex Trackone y Dj Napo,La nube,Electronica,Techno,2000
Alex Trackone,Genetiko,Electronica,Techno,2006
Alex Trackone ala Lawrence Lock,Technobase,Electronica,Techno,2004
Ben Sims,Remanipulator,Electronica,Techno,1998
Cisco Ferreira aka The Advent,Kurva,Electronica,Techno,2005
Danili Di Corto,Time of passion,Electronica,Techno,2007
David Marshall,Embola,Electronica,Techno,2005
Digital Express,The Club,Electronica,Techno,2004
Digital Express y Michel de Hey,The club remix,Electronica,Techno,2002
Dj Gilbert,Dulux,Electronica,Techno,2000
Filterheadz,Yimanya,Electronica,Techno,2005
Jeff Mills,The Bells,Electronica,Techno,1996
Jeff Mills & Dj Rolando,Jaguar remix,Electronica,Techno,2002
Julio Posadas,Indhu,Electronica,Techno,2022
Lithium,Deep jungle,Electronica,Techno,2002
Mackenzie Feat. Jessy,Arpegia (Without You),Electronica,Techno,1998
Mauro Picotto,Bangkok,Electronica,Techno,2005
Max Walder & Manu Kenton,Bongo Spirit,Electronica,Techno,2007
Mojado,Fuerte,Electronica,Techno,2007
Plastikman,Spastik,Electronica,Techno,1993
Randy Katana,Fancy Fair,Electronica,Techno,2009
Randy Katana,One solid wave original mix,Electronica,Techno,2003
Substate,Horizon,Electronica,Techno,2005
Surgeon,La Real,Electronica,Techno,2000
Taksi,Schneesturm,Electronica,Techno,2001
Tekken,Tribal Pursuit,Electronica,Techno,2001
The Advent,Inn Balance (Cozmic Spore Remix),Electronica,Techno,2003
The Roc Project feat. Tina Arena,Never Filterheadz remix,Electronica,Techno,2004
Thomas Krome,Bitches From Hell,Electronica,Techno,2003
Tim Xavier,Theater Of Sound,Electronica,Techno,2003
Titanium,Dukun (Marco Bailey Remix),Electronica,Techno,2003
Oscar Mulero,Anaconda,Electronica,Techno,2005
Tom Hafman vs submission,El vacio mix,Electronica,Techno,2003
Tomaz vs Filterheadz,Lazy people,Electronica,Techno,2002
Tomaz vs Filterheadz,Sunshine,Electronica,Techno,2002
Umek,Soludeks,Electronica,Techno,2000
