artist,song,genre,subgenre,year,beats,tempo,mfcc,zero_crossing_rate,rolloff,spectral_centroid,spectral_bandwidth,chroma_stft,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_10,rmse_11,rmse_12,rmse_13,rmse_14,rmse_15,rmse_16,rmse_17,rmse_18,rmse_19,rmse_20
Alice Deejay,Better Off Alone,Electronica,Dance,2000,381,135.99917763,3.4030802249908447,0.1017899155593043,9249.56819539488,4350.674714671837,4103.266703680121,0.46433225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calvin Harris y Ellie Goulding,Miracle,Electronica,Dance,2023,433,143.5546875,4.800572872161865,0.0615582032474146,6829.635626811736,3083.965694346719,3522.0630405167644,0.45103738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426e-05,0.0061289,0.06805514,0.16480644,0.21269843,0.24585794,0.26138806,0.24150927
David Guetta y Anne,Baby Don’t Hurt Me,Electronica,Dance,2023,351,129.19921875,8.427510261535645,0.0591458887693522,6718.444180172896,2997.476857011518,3285.6726824402976,0.47865146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481e-05,0.03187384,0.13298678,0.22064228,0.30073288
Edward Maya & Vika Jigulina,Stereo Love,Electronica,Dance,2009,382,126.04801829,4.400158405303955,0.0701704821012872,7335.060037999818,3307.037192302404,3484.2362688522776,0.44020632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erika,I Don't Know,Electronica,Dance,2004,412,129.19921875,6.315406799316406,0.0390446328786488,6101.4788136416455,2644.8649956930826,3517.9029266447887,0.5307436,0.0,0.0,0.0,0.0,0.0,0.00021759,0.00031921,0.00065973,0.0012245,0.00197944,0.00271852,0.003737,0.00449273,0.00533548,0.00604801,0.00705383,0.00852623,0.01006644,0.01193275,0.01324474
Flo Rida,Club Can't Handle Me,Electronica,Dance,2010,513,129.19921875,1.133823275566101,0.0890663575808792,6996.5044579255455,3354.7787467059948,3387.3862844702585,0.4245442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gigi D'agostino,L'amour toujour,Electronica,Dance,2001,545,139.67483108,2.882359266281128,0.0551185770455307,5473.05940288442,2502.185213384881,2864.1208506401026,0.4247243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-07,8.4e-07,2.88e-06,2.079e-05,0.000405,0.00054397,0.00070983,0.0008534,0.00101227,0.0010746,0.00106751,0.00111056,0.00096588
Lasgo,I Wonder,Electronica,Dance,2001,493,139.67483108,3.7963788509368896,0.0583910881693544,6551.428357049058,2979.100535766946,3390.061069274688,0.40989912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasgo,Something,Electronica,Dance,2001,508,139.67483108,0.7950863838195801,0.0600635985876657,6489.133780239539,3040.142399268896,3423.865655384694,0.4749552,0.0,1.75e-06,0.00044306,0.00072827,0.00087871,0.00102297,0.00098744,0.00109721,0.00106671,0.00106405,0.00125942,0.001103,0.0011425,0.00109472,0.00103039,0.00103138,0.00105404,0.00109403,0.00092767,0.0010464
Rimini Project,Sounds Good,Electronica,Dance,2001,790,139.67483108,5.9647979736328125,0.0857750910109729,8245.38755341261,3747.7587866870695,3917.742503926031,0.5271235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sash! feat Tina Cousins,Mysterious Times,Electronica,Dance,2012,488,135.99917763,-2.789468050003052,0.0518433804204993,6648.201313033837,2945.534444132363,3629.996872273245,0.5103594,0.0,3.2e-07,0.00010627,0.000156,0.00018877,0.00019375,0.0001812,0.00019711,0.00018351,0.0001928,0.000327,0.000308,0.00032572,0.00033862,0.00024658,0.00028169,0.00029169,0.00034066,0.00033568,0.0003191
Snap!,Rhythm is a Dancer,Electronica,Dance,1992,470,123.046875,3.094693899154663,0.0612155558484698,6237.987947268297,2808.5078104096474,3245.452819884741,0.4529915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sylver,Skin,Electronica,Dance,2001,568,139.67483108,3.563621282577514,0.0676637417495347,5629.475532100489,2730.995434150555,2736.327413241414,0.44698864,7e-08,2.4e-07,1.2e-06,2.4e-06,2.95e-06,3.64e-06,4.04e-06,4.15e-06,3.81e-06,0.00159638,0.0016262,0.001626,0.00164652,0.00070226,0.0010067,0.00155718,0.00208345,0.00275269,0.00402718,0.00538312
Sylver,Skin,Electronica,Dance,2024,568,139.67483108,3.563621282577514,0.0676637417495347,5629.475532100489,2730.995434150555,2736.327413241414,0.44698864,7e-08,2.4e-07,1.2e-06,2.4e-06,2.95e-06,3.64e-06,4.04e-06,4.15e-06,3.81e-06,0.00159638,0.0016262,0.001626,0.00164652,0.00070226,0.0010067,0.00155718,0.00208345,0.00275269,0.00402718,0.00538312
Sylver,Turn the tide,Electronica,Dance,2001,367,92.28515625,-10.575661659240724,0.0858092830119002,5872.541165230797,2939.682546334304,2637.581784508733,0.41125622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-08,1.4e-07,8.23e-06,9.3e-06,1.2e-05,1.752e-05,1.976e-05,2.222e-05,2.068e-05,1.662e-05,4.487e-05,0.0329293,0.05922717
Yolanda Be Cool & DCUP,We No Speak Americano,Electronica,Dance,2010,391,126.04801829,-1.6400456428527832,0.0385047469872582,4022.386476483344,1897.68164596918,2193.3829330021567,0.52970356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-07,0.00703298,0.17455786,0.250269,0.29917055,0.34118792,0.34296653,0.34777573,0.35086805,0.3568589,0.3661036,0.36971715
Grauzone,Eisbaer,Rock,New Wave,1980,415,129.19921875,6.1338629722595215,0.0462389754152044,4542.197095701126,2137.599667487644,2407.162766576695,0.50052124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Human Tetris,Things I don't need,Rock,New Wave,2010,296,82.03125,9.47054958343506,0.02316918554214,4485.2309950734125,1881.08021401456,2865.555358029602,0.5466788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Las Eras,Virginia,Rock,New Wave,2024,367,129.19921875,5.347099781036377,0.0405317211695191,4123.607723457777,1967.1837031020573,2443.772446879292,0.6015703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31e-06,0.04662505,0.09306971,0.142221,0.15325034,0.18598132,0.17479862,0.1459796,0.17683382,0.14574246,0.17480448,0.17748113
Lebanon Hanover,Gallowdance,Rock,New Wave,2013,561,139.67483108,-3.092843770980835,0.0482251274596756,3514.4358755949497,1817.99133449216,2066.205627132644,0.49155226,0.0,4e-08,9e-08,5.04e-06,5.605e-05,0.00070041,0.00459835,0.01002157,0.01243102,0.01522939,0.01674014,0.017391,0.01975191,0.01964968,0.0206457,0.0205908,0.01972057,0.0198773,0.02189838,0.02309407
Linea Aspera,Malarone,Rock,New Wave,2012,358,89.10290948,2.579828977584839,0.0812224258919577,8219.628150611235,3623.0151620353695,3875.5028738532674,0.5221453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-08,2.65e-06,5.12e-06,1.185e-05,1.9e-05,2.942e-05,4.445e-05,5.951e-05,7.198e-05,8.107e-05,8.501e-05,8.498e-05,8.677e-05
Pleasure Symbols,Control,Rock,New Wave,2016,187,47.8515625,7.104936599731445,0.0233641401901398,3561.1208241549825,1608.8147714943198,2398.692378723721,0.59118414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-08,2.5e-07,2.6e-06,2.161e-05,0.09898529,0.13082294,0.20863241
Psyche,Goodbye Horses,Rock,New Wave,1996,496,126.04801829,4.792073249816895,0.0394690376916857,5056.838912215731,2286.6499064959166,2963.1342254851124,0.4302528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8e-07,4.385e-05,0.00010106,0.00010401,0.00010458,9.782e-05,0.00102066,0.00329138
Rue Oberkampf,Hope and Fear,Rock,New Wave,2022,666,126.04801829,8.344195365905762,0.0313630926209397,4410.445849889265,1913.930745100172,2572.0437704272726,0.5365476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sad lovers and Giants,Things we never did,Rock,New Wave,1982,494,135.99917763,-2.922624588012696,0.0639661655848891,5289.426066128209,2461.3593193261604,2703.6638622129035,0.44143507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ultra Sun,Distress,Rock,New Wave,2024,479,126.04801829,5.959661960601807,0.0384407452878627,4874.076335174573,2162.6164643618595,2882.24842050426,0.5708868,0.0,1.081e-05,0.07756481,0.1016846,0.11337195,0.13663766,0.12289211,0.12895665,0.13822396,0.17730826,0.1934378,0.195394,0.20023227,0.15960734,0.18043953,0.17871168,0.16714388,0.18827051,0.16791902,0.16602847
Boy Harsher,Machina,Rock,New Wave,2022,501,123.046875,2.419086456298828,0.0550102271999487,5907.118173694281,2736.641398878474,3103.7342297348428,0.54423285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Killing Joke,Love Like Blood ,Rock,New Wave,1985,334,103.359375,1.3581604957580566,0.0412439569123428,4927.451580836361,2275.642034451225,2840.504655428253,0.4091417,0.0,0.0,0.0,0.0,0.00053833,0.12359098,0.2602146,0.32279402,0.34403127,0.34174755,0.25862545,0.179555,0.14162087,0.08912509,0.08081216,0.07877815,0.07889134,0.08492783,0.09284776,0.09616401
VVV Trippin You,Nunca Estuvimos Tan Lejos,Rock,New Wave,2019,520,122.2826087,-5.928457260131836,0.057182289573203,4700.799110819184,2481.954508927596,2922.249990617249,0.4528966,0.00010521,0.00014906,0.00018748,0.00020887,0.00020954,0.0002094,0.00019821,0.00019796,0.00019592,0.0001934,0.00020566,0.000215,0.00022154,0.0002294,0.00022719,0.00021624,0.00020932,0.00020407,0.00020772,0.00021522
Silent EM,Wraith,Rock,New Wave,2013,190,64.59960938,-4.806321620941162,0.0378768438948855,4107.1412073719575,1987.247361503984,2630.263425784323,0.4672951,0.00028468,0.0005984,0.00105018,0.00162594,0.00224558,0.00290065,0.00353958,0.00401123,0.00430458,0.00439187,0.00427981,0.004136,0.00404493,0.00413048,0.0045228,0.00512151,0.00577726,0.00640062,0.0069503,0.00755101
VVV Trippin You,Amianto,Rock,New Wave,2021,589,139.67483108,5.258917808532715,0.0530911300470881,4914.924942746671,2380.666619228129,2559.0879977250816,0.55101883,0.0,0.0,0.0,0.0,3e-08,0.00309219,0.01396336,0.01984018,0.02374918,0.02911767,0.03032495,0.030105,0.03111753,0.02916285,0.02998563,0.03000253,0.03130196,0.03405324,0.03521077,0.0361071
VVV Trippin You,Invierno nuclear,Rock,New Wave,2020,528,114.84375,8.282957077026367,0.0401486938012602,4359.247286957391,2095.0750443244124,2686.039898439392,0.5409342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VVV Trippin You,Lluvias de Marzo,Rock,New Wave,2021,457,161.49902344,8.184104919433594,0.0699337246816678,7460.12519944526,3413.024520863055,3646.611218350676,0.55493826,0.0587373,0.09571197,0.11260081,0.12298885,0.12021266,0.10514366,0.09852132,0.09068897,0.08662708,0.08256602,0.08059692,0.07977,0.07734361,0.07724198,0.07680973,0.07948179,0.08739129,0.0931462,0.09740196,0.09862805
VVV Trippin You,Matar el Tiempo,Rock,New Wave,2021,356,139.67483108,7.348276615142822,0.0455574649623362,5049.512495031797,2329.3153011081063,2848.4250774180027,0.4811953,0.0,0.00018296,0.06586852,0.10041794,0.1279815,0.14712413,0.15264422,0.19216622,0.21360357,0.23048021,0.24349853,0.229842,0.21710733,0.21998672,0.21249326,0.20559424,0.19749117,0.18553345,0.17897996,0.1743582
VVV Trippin You,Monstruo,Rock,New Wave,2021,358,129.19921875,6.652036666870117,0.044935920149341,6522.057054532284,2856.0483314369294,3509.635556149828,0.5577409,0.36116663,0.43962997,0.48035067,0.5176644,0.48772988,0.43973088,0.40490052,0.31354263,0.17839472,0.11781022,0.07685143,0.043578,0.02149089,0.00962848,0.00475619,0.00274141,0.00131875,0.00055936,0.00112297,0.19690432
Zanias,Unraveled,Rock,New Wave,2021,507,151.99908088,0.9869087338447572,0.0556955652716817,5869.982985692635,2823.5930314673087,3185.765412341307,0.4424073,0.01402672,0.02409305,0.03088177,0.03673558,0.04217681,0.04464426,0.04612383,0.04709555,0.0451116,0.04342768,0.04172117,0.038972,0.03590519,0.03099015,0.02559847,0.0209563,0.016353,0.0138384,0.0176367,0.01827783
Zanias,Follow the Body,Rock,New Wave,2016,155,117.45383523,-3.545161247253418,0.0313058825174673,1883.3209519629145,1181.146014001207,1664.5344635272872,0.38967147,0.0,1.2e-07,3.9e-07,1.67e-06,9.041e-05,0.00046086,0.00162853,0.00267535,0.00457396,0.03639334,0.06325429,0.111541,0.13671885,0.1595328,0.17606577,0.17477192,0.18871842,0.198146,0.19787806,0.2093889
Abel Ramos,Das spiegel,Electronica,Remember,1999,965,143.5546875,0.7268282771110535,0.0512388830509777,6128.107769930415,2809.425792377168,3088.272619005241,0.62592846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allegro,Moments In Love,Electronica,Remember,1999,770,139.67483108,4.520317554473877,0.0636255637538079,7270.049028934404,3316.419711183968,3533.033750891589,0.5657011,0.0,0.0,0.0,0.0,0.0,0.0,1.4e-07,2.5e-06,7.352e-05,0.00412664,0.0729185,0.124563,0.18686692,0.23735487,0.26478976,0.27130413,0.25880983,0.23965421,0.21613374,0.20443058
Aquagen,Everybody Is Free,Electronica,Remember,2004,1227,139.67483108,-0.4118527472019195,0.0636192615260413,6161.79671455149,2899.6534056334194,3131.7346731099087,0.46041587,0.0,0.0,0.0,0.0,0.0,0.0,7.7e-07,8.23e-06,0.00011799,0.00230062,0.04322239,0.063526,0.07168371,0.07742349,0.06754746,0.05004219,0.03810417,0.02551529,0.01666647,0.01466953
Butcher,Don't let the Sun go down,Electronica,Remember,2003,1251,143.5546875,4.432338714599609,0.0752487492102594,6556.200561774998,3169.100469777434,3163.3429291861053,0.5020294,4e-08,4.1e-07,3.03e-06,6.91e-06,1.631e-05,0.00020423,0.00033109,0.00042039,0.00050229,0.00054921,0.00059522,0.000621,0.00067731,0.0007862,0.0009742,0.00102049,0.00104369,0.00139498,0.00155313,0.0016359
C Base ,In The Beginning,Electronica,Remember,2003,1042,139.67483108,4.848339080810547,0.04883121640917,6450.717247897941,2818.407689942365,3374.871835513657,0.5789776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-08,1e-07,2.8e-07,1.52e-06,2.93e-06,6.24e-06
Dave 202,Baracuda,Electronica,Remember,2001,1076,139.67483108,0.7859172224998474,0.0523626604058546,5509.449924046493,2553.181919377525,2983.772360424996,0.49661174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9e-08,5e-07,1.192e-05,0.00054852,0.001099,0.00286364,0.00563303,0.00970691,0.01437726,0.01842277,0.02220348,0.02404452,0.02488352
David,Max Apology,Electronica,Remember,2000,756,161.49902344,5.228976726531982,0.0801172101128333,7293.895437556766,3447.0284613336053,3311.061935848971,0.58907145,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-07,1.91e-06,1.657e-05,0.00014569,0.00023053,0.000292,0.00032147,0.00035516,0.05181494,0.06889084,0.08458859,0.10471797,0.10332943,0.1044228
Dj Crivi,Mankell (Gaupasa Version),Electronica,Remember,2001,691,99.38401442,-1.1418167352676392,0.0572908623900935,5144.183786345034,2486.556180059025,2627.9170647157025,0.5050564,0.0,0.0,0.0,0.0,1.2e-07,0.00209799,0.00267966,0.00267966,0.00267966,0.00166704,1.034e-05,0.001776,0.00286019,0.00620771,0.00700807,0.00778896,0.00910058,0.00769982,0.00755964,0.00713601
Dj Rai,A Hidde Place,Electronica,Remember,2001,1121,156.60511364,5.048874855041504,0.0674688385178415,7953.9458325552305,3630.2963224500136,3862.795071056317,0.571749,0.0,0.0,0.0,0.0,5.66e-06,5.661e-05,0.00013027,0.0651443,0.12805659,0.17553498,0.20851986,0.224159,0.21045399,0.18028751,0.15088417,0.12161601,0.10691056,0.10575741,0.10368124,0.10044695
